,acc,clf,data,f1,feat_generator,tacc
100,0.4989517819706499,SVM,4-balanced,0.48812731641973456,count_ng2,0.4989517819706499
101,0.4884696016771488,Perceptron,4-balanced,0.4881579998402428,count_ng2,0.48846960167714887
102,0.4716981132075471,bnb,4-balanced,0.40671839768683404,count_ng2,0.4716981132075472
103,0.5157232704402516,mnb,4-balanced,0.519199778423608,count_ng2,0.5157232704402516
104,0.5115303983228511,sgd,4-balanced,0.5096717757704322,count_ng2,0.5115303983228512
105,0.3542976939203354,KNN,4-balanced,0.2908611453883315,count_ng2,0.35429769392033544
106,0.5052410901467504,Logistic Regression,4-balanced,0.4932374554718327,count_ng3,0.5052410901467506
107,0.5094339622641509,Passive Aggresive,4-balanced,0.5064601661174869,count_ng3,0.5094339622641509
108,0.4884696016771488,SVM,4-balanced,0.47486619281874276,count_ng3,0.48846960167714887
109,0.47798742138364775,Perceptron,4-balanced,0.4754753586401442,count_ng3,0.4779874213836478
110,0.42767295597484273,bnb,4-balanced,0.334051883260028,count_ng3,0.4276729559748428
111,0.519916142557652,mnb,4-balanced,0.5233918128654971,count_ng3,0.519916142557652
112,0.49475890985324944,sgd,4-balanced,0.49317130809798737,count_ng3,0.4947589098532495
113,0.3312368972746331,KNN,4-balanced,0.2570763453467231,count_ng3,0.3312368972746331
114,0.5387840670859538,Logistic Regression,4-balanced,0.5394919494282551,tfidf_ng1,0.5387840670859538
115,0.5094339622641508,Passive Aggresive,4-balanced,0.5105155167300277,tfidf_ng1,0.5094339622641509
116,0.5115303983228512,SVM,4-balanced,0.5130618846208516,tfidf_ng1,0.5115303983228512
117,0.5010482180293501,Perceptron,4-balanced,0.5022931074845526,tfidf_ng1,0.5010482180293501
118,0.3668763102725367,bnb,4-balanced,0.24456660504780459,tfidf_ng1,0.3668763102725367
119,0.5303983228511531,mnb,4-balanced,0.5339925620363376,tfidf_ng1,0.5303983228511531
120,0.5136268343815513,sgd,4-balanced,0.5129816581228038,tfidf_ng1,0.5136268343815513
121,0.43396226415094336,KNN,4-balanced,0.43604833854602587,tfidf_ng1,0.4339622641509434
122,0.519916142557652,Logistic Regression,4-balanced,0.5203811096476569,tfidf_ng2,0.519916142557652
123,0.5031446540880503,Passive Aggresive,4-balanced,0.5060101710587148,tfidf_ng2,0.5031446540880503
124,0.519916142557652,SVM,4-balanced,0.5217274409432096,tfidf_ng2,0.519916142557652
125,0.5010482180293501,Perceptron,4-balanced,0.5011665624603935,tfidf_ng2,0.5010482180293501
126,0.33962264150943394,bnb,4-balanced,0.17990479624777997,tfidf_ng2,0.33962264150943394
127,0.5283018867924527,mnb,4-balanced,0.5305666731324762,tfidf_ng2,0.5283018867924528
128,0.4968553459119497,sgd,4-balanced,0.4997720918299509,tfidf_ng2,0.4968553459119497
129,0.4171907756813417,KNN,4-balanced,0.4192715113962656,tfidf_ng2,0.4171907756813417
130,0.5283018867924528,Logistic Regression,4-balanced,0.5273140433267687,tfidf_ng3,0.5283018867924528
131,0.5073375262054507,Passive Aggresive,4-balanced,0.5101377524717972,tfidf_ng3,0.5073375262054507
132,0.5157232704402516,SVM,4-balanced,0.5167062077089082,tfidf_ng3,0.5157232704402516
133,0.5094339622641509,Perceptron,4-balanced,0.509641534296986,tfidf_ng3,0.5094339622641509
134,0.3375262054507337,bnb,4-balanced,0.17552576235541537,tfidf_ng3,0.33752620545073375
135,0.5220125786163521,mnb,4-balanced,0.5245598849409931,tfidf_ng3,0.5220125786163522
136,0.5283018867924528,sgd,4-balanced,0.5258114131379812,tfidf_ng3,0.5283018867924528
137,0.42557651991614254,KNN,4-balanced,0.4277996260320019,tfidf_ng3,0.42557651991614254
138,0.49266247379454925,Logistic Regression,4-balanced,0.48826633642754497,hash_ng1,0.49266247379454925
139,0.5031446540880502,Passive Aggresive,4-balanced,0.5020788109557193,hash_ng1,0.5031446540880503
140,0.5262054507337526,SVM,4-balanced,0.5242773788788653,hash_ng1,0.5262054507337526
141,0.5010482180293501,Perceptron,4-balanced,0.49973573867794957,hash_ng1,0.5010482180293501
142,0.32285115303983225,bnb,4-balanced,0.16784070281087174,hash_ng1,0.3228511530398323
143,0.5136268343815513,sgd,4-balanced,0.5090931056702706,hash_ng1,0.5136268343815513
144,0.4213836477987421,KNN,4-balanced,0.4191036809946563,hash_ng1,0.42138364779874216
145,0.5115303983228512,Logistic Regression,4-balanced,0.5083816029570019,hash_ng2,0.5115303983228512
146,0.5283018867924528,Passive Aggresive,4-balanced,0.5271655706666188,hash_ng2,0.5283018867924528
147,0.5178197064989518,SVM,4-balanced,0.5168730903379892,hash_ng2,0.5178197064989518
148,0.4884696016771488,Perceptron,4-balanced,0.4779451084092018,hash_ng2,0.48846960167714887
